S/N,Name,City,Address,Phone,Owner
107,SABİHA BULDUK ECZANESİ,LEFKOŞA,"Şht. Ecvet Yusuf Cad. Bulduk Residence Apt. Dük. No: 3, Yenişehir (Orman Dairesi Yolu), Lefkoşa",(0392) 228 65 65,Ecz. Sabiha Bulduk
108,SAFİYE ÇAĞANSEL ECZANESİ,LEFKOŞA,"Şht. İsmail Beyoğlu Cad. No:52A, Eski Zipps Market yolu, Küçük Kaymaklı, Lefkoşa",(0392) 227 76 76,Uzm. Ecz. Safiye Çağansel
109,SAĞLIK 2 ECZANESİ,LEFKOŞA,Cengiz Topel Sok.Levent Apt.Blok.38 No:19 K.Çiftlik,(0392) 229 24 66,Ecz. Orhan Aktunç
110,SENAL ATAÇAĞ ECZANESİ,LEFKOŞA,Atatürk Cad. Şht.Zehra Mustafa Sk.No:5 Gönyeli,(0392) 223 19 97,Ecz. Senal Ataçağ
111,ŞERİFE ADEMOĞULLARI ECZANESİ,LEFKOŞA,"Şht.İsmail Dümenci Sok No: 2 C Lefkoşa Fenerium Karşısı, Eski İştah Restorant yanı Karaca's Corner Restorant ve Kamu Sen Karşısı Yenişehir Lefkoşa",(0392) 228 17 67,Ecz. Şerife Ademoğulları
112,SERKAN KERVAN ECZANESİ,LEFKOŞA,Hürriyet Cad. N0:11/ B Hamitköy Lefkoşa,(0392) 225 80 91,Ecz. Serkan Kervan
113,SERNA ECZANESİ,LEFKOŞA,"Belediye Bulvarı No: 2, Yenikent, Lefkoşa",(0392) 224 12 10,Ecz. Serna İzel Kaya
114,SEROL ECZANESİ,LEFKOŞA,Mustafa Ruso Cad. Muhtar Yusuf Galeria K.Kaymaklı,(0392) 227 20 64,Ecz. Safiye Taydaş
115,SERPİN ONAY ECZANESİ,LEFKOŞA,"Şht. Mustafa Ruso Cad. No: 84, Küçük Kaymaklı, Lefkoşa",(0392) 227 39 24,Ecz. Serpin Onay
116,SESİL ECZANESİ,LEFKOŞA,Bolu Sok. Blok 9 Küçük Kaymaklı Lefkoşa,(0392) 228 89 63,Ecz. Nurten Özünalp
117,SEV ECZANESİ,LEFKOŞA,"Kemal Şemiler Cad. Akçın Plaza No: 2, Zephyr Cafe yolu üzeri, Civisilli Gıda yanı, Metehan Kermiya, Lefkoşa",(0392) 223 44 14,Ecz. Seval Öztürk
